,filename,width,height,xmin,ymin,xmax,ymax,class
1404,20210501_154025_frame_4090.jpg,1280,720,817,341,854,410,motorcycle
3920,20210505_165907_frame_19730.jpg,1280,720,1035,238,1238,561,person
3244,20210503_154550_frame_5800.jpg,1280,720,451,283,478,332,motorcycle
5986,VID_20210429_144011_frame_10040.jpg,1280,720,704,339,742,419,person
5522,20210505_173347_frame_1780.jpg,1280,720,124,255,426,659,person
2057,20210501_160847_frame_2480.jpg,1280,720,0,359,116,477,car
4662,20210505_173347_frame_1260.jpg,1280,720,696,317,777,401,car
4636,20210505_173347_frame_12450.jpg,1280,720,631,326,713,394,car
3502,20210505_165907_frame_12000.jpg,1280,720,752,301,831,375,car
3707,20210505_165907_frame_17280.jpg,1280,720,660,297,758,392,car
3334,20210503_154550_frame_8020.jpg,1280,720,661,312,808,409,car
1867,20210501_160847_frame_1830.jpg,1280,720,498,320,617,433,car
2289,20210501_160847_frame_4800.jpg,1280,720,671,350,743,452,person
6458,VID_20210429_144011_frame_21260.jpg,1280,720,161,351,346,506,motorcycle
1960,20210501_160847_frame_2170.jpg,1280,720,104,337,180,570,person
1904,20210501_160847_frame_1980.jpg,1280,720,789,277,1254,565,car
2612,20210501_162114_frame_18210.jpg,1280,720,391,326,478,537,motorcycle
7069,VID_20210502_174603_frame_6030.jpg,1280,720,753,234,983,370,other vehicles
920,20210501_150607_frame_4930.jpg,1280,720,839,319,921,424,motorcycle
2024,20210501_160847_frame_2390.jpg,1280,720,295,336,416,394,car
7015,VID_20210502_174603_frame_2280.jpg,1280,720,892,279,963,408,motorcycle
1044,20210501_150607_frame_5500.jpg,1280,720,0,283,85,356,car
4540,20210505_173347_frame_11920.jpg,1280,720,706,313,753,344,car
6922,VID_20210430_155115_frame_7130.jpg,1280,720,1059,226,1182,556,person
1888,20210501_160847_frame_1930.jpg,1280,720,624,333,676,384,car
2191,20210501_160847_frame_3890.jpg,1280,720,642,342,694,387,car
4596,20210505_173347_frame_1220.jpg,1280,720,452,361,515,463,motorcycle
3236,20210503_154550_frame_5050.jpg,1280,720,702,346,758,411,car
1267,20210501_150607_frame_9830.jpg,1280,720,1042,342,1082,406,motorcycle
2749,20210503_152226_frame_5610.jpg,1280,720,654,350,744,433,car
5659,20210505_173347_frame_2350.jpg,1280,720,528,318,574,467,person
4557,20210505_173347_frame_120.jpg,1280,720,937,310,967,404,person
5198,20210505_173347_frame_15100.jpg,1280,720,811,368,1206,589,motorcycle
1754,20210501_154632_frame_1870.jpg,1280,720,939,296,973,351,person
4373,20210505_171959_frame_8600.jpg,1280,720,365,319,500,420,motorcycle
574,20210501_150607_frame_3230.jpg,1280,720,168,295,472,434,car
4063,20210505_165907_frame_24210.jpg,1280,720,638,329,678,402,motorcycle
764,20210501_150607_frame_4580.jpg,1280,720,949,328,988,391,motorcycle
4628,20210505_173347_frame_1240.jpg,1280,720,415,358,469,463,motorcycle
7218,VID_20210510_171657_frame_9630.jpg,1280,720,114,280,163,405,person
6535,VID_20210429_144011_frame_44210.jpg,1280,720,537,253,721,471,car
4946,20210505_173347_frame_1390.jpg,1280,720,1140,324,1274,520,motorcycle
6833,VID_20210429_155708_frame_950.jpg,1280,720,673,329,731,381,car
7071,VID_20210502_174603_frame_6030.jpg,1280,720,428,143,584,529,person
1230,20210501_150607_frame_8770.jpg,1280,720,845,331,887,397,motorcycle
3131,20210503_154550_frame_3070.jpg,1280,720,596,360,625,396,car
99,20210501_150607_frame_11360.jpg,1280,720,685,306,717,371,person
5957,VID_20210429_120705_frame_5510.jpg,1920,1080,1510,560,1607,746,motorcycle
312,20210501_150607_frame_12320.jpg,1280,720,688,295,738,346,car
4245,20210505_171959_frame_3890.jpg,1280,720,907,313,964,427,motorcycle
3220,20210503_154550_frame_4570.jpg,1280,720,915,388,991,506,motorcycle
3254,20210503_154550_frame_5890.jpg,1280,720,681,361,710,409,motorcycle
4442,20210505_173347_frame_1060.jpg,1280,720,682,326,729,384,motorcycle
320,20210501_150607_frame_12980.jpg,1280,720,692,308,725,345,car
1123,20210501_150607_frame_6090.jpg,1280,720,233,252,501,466,car
3539,20210505_165907_frame_12160.jpg,1280,720,502,295,548,400,person
4263,20210505_171959_frame_4600.jpg,1280,720,799,294,823,346,motorcycle
1821,20210501_154632_frame_7900.jpg,1280,720,681,318,741,357,car
5708,20210505_173347_frame_5320.jpg,1280,720,491,289,535,416,person
4789,20210505_173347_frame_13140.jpg,1280,720,614,320,698,392,car
2213,20210501_160847_frame_4510.jpg,1280,720,625,349,669,407,motorcycle
3427,20210505_165907_frame_10810.jpg,1280,720,578,399,679,562,motorcycle
568,20210501_150607_frame_3170.jpg,1280,720,506,300,626,354,car
4970,20210505_173347_frame_13990.jpg,1280,720,700,313,783,377,car
1413,20210501_154025_frame_4100.jpg,1280,720,545,327,596,399,motorcycle
1895,20210501_160847_frame_1950.jpg,1280,720,650,324,732,401,car
1155,20210501_150607_frame_6730.jpg,1280,720,345,247,476,561,person
3552,20210505_165907_frame_12360.jpg,1280,720,851,335,921,440,motorcycle
1224,20210501_150607_frame_8740.jpg,1280,720,579,312,625,369,other vehicles
565,20210501_150607_frame_3140.jpg,1280,720,569,311,662,355,car
3740,20210505_165907_frame_17560.jpg,1280,720,681,297,764,396,car
1561,20210501_154632_frame_1410.jpg,1280,720,728,305,795,374,car
4142,20210505_171959_frame_13360.jpg,1280,720,739,309,849,433,car
2538,20210501_162114_frame_13520.jpg,1280,720,757,318,1134,558,car
1465,20210501_154632_frame_1090.jpg,1280,720,800,282,900,376,car
6131,VID_20210429_144011_frame_13720.jpg,1280,720,683,328,750,383,car
2769,20210503_153255_frame_19880.jpg,1280,720,643,369,685,452,person
4949,20210505_173347_frame_13900.jpg,1280,720,9,117,524,513,car
3309,20210503_154550_frame_7020.jpg,1280,720,586,372,610,403,motorcycle
2428,20210501_161529_frame_2730.jpg,1280,720,635,300,720,394,car
4188,20210505_171959_frame_320.jpg,1280,720,583,325,614,384,motorcycle
1500,20210501_154632_frame_1240.jpg,1280,720,387,289,505,386,other vehicles
3023,20210503_153255_frame_990.jpg,1280,720,745,371,792,435,motorcycle
4798,20210505_173347_frame_1320.jpg,1280,720,884,344,915,398,motorcycle
593,20210501_150607_frame_3870.jpg,1280,720,1200,268,1280,581,person
1577,20210501_154632_frame_1460.jpg,1280,720,622,305,675,357,car
1393,20210501_154025_frame_370.jpg,1280,720,395,309,555,500,motorcycle
2120,20210501_160847_frame_300.jpg,1280,720,606,344,640,379,car
2640,20210503_152226_frame_14840.jpg,1280,720,1093,386,1280,540,motorcycle
3518,20210505_165907_frame_12100.jpg,1280,720,983,326,1102,507,motorcycle
2410,20210501_161529_frame_2610.jpg,1280,720,337,305,397,443,person
6238,VID_20210429_144011_frame_16840.jpg,1280,720,796,340,857,466,motorcycle
1324,20210501_154025_frame_1970.jpg,1280,720,950,375,1184,640,motorcycle
6909,VID_20210430_155115_frame_32220.jpg,1280,720,807,225,928,448,person
474,20210501_150607_frame_1430.jpg,1280,720,883,286,931,438,person
959,20210501_150607_frame_5010.jpg,1280,720,1045,355,1158,500,motorcycle
6954,VID_20210502_174603_frame_1160.jpg,1280,720,385,219,529,467,person
3843,20210505_165907_frame_18460.jpg,1280,720,653,301,748,399,car
4500,20210505_173347_frame_1110.jpg,1280,720,980,331,1041,459,motorcycle
1786,20210501_154632_frame_5270.jpg,1280,720,574,280,709,431,car
5844,VID_20210429_120705_frame_270.jpg,1920,1080,1420,293,1498,465,person
5886,VID_20210429_120705_frame_3380.jpg,1920,1080,1123,241,1396,472,car
3452,20210505_165907_frame_10880.jpg,1280,720,487,333,614,569,motorcycle
1375,20210501_154025_frame_310.jpg,1280,720,571,333,989,611,motorcycle
2963,20210503_153255_frame_7630.jpg,1280,720,954,387,1193,692,motorcycle
835,20210501_150607_frame_4780.jpg,1280,720,707,310,749,349,car
5782,VID_20210429_120705_frame_0.jpg,1920,1080,1564,105,1910,785,person
4376,20210505_171959_frame_870.jpg,1280,720,763,319,793,380,motorcycle
220,20210501_150607_frame_11900.jpg,1280,720,681,297,760,374,car
849,20210501_150607_frame_4800.jpg,1280,720,1133,316,1280,448,car
5132,20210505_173347_frame_14930.jpg,1280,720,619,337,671,372,motorcycle
7177,VID_20210510_171657_frame_7900.jpg,1280,720,896,260,970,542,person
4848,20210505_173347_frame_13450.jpg,1280,720,576,321,677,412,car
2993,20210503_153255_frame_880.jpg,1280,720,170,504,305,713,person
2914,20210503_153255_frame_4750.jpg,1280,720,795,375,896,540,motorcycle
484,20210501_150607_frame_1490.jpg,1280,720,517,296,553,388,person
6630,VID_20210429_144011_frame_49180.jpg,1280,720,632,347,658,401,motorcycle
3306,20210503_154550_frame_70.jpg,1280,720,824,389,909,530,motorcycle
473,20210501_150607_frame_1430.jpg,1280,720,0,228,76,522,person
240,20210501_150607_frame_11950.jpg,1280,720,652,295,686,365,person
2562,20210501_162114_frame_1410.jpg,1280,720,750,371,787,423,motorcycle
3545,20210505_165907_frame_12190.jpg,1280,720,297,389,424,551,motorcycle
4768,20210505_173347_frame_1300.jpg,1280,720,856,332,919,370,motorcycle
3394,20210505_165907_frame_10070.jpg,1280,720,806,283,875,462,person
1777,20210501_154632_frame_1920.jpg,1280,720,22,251,185,646,person
1764,20210501_154632_frame_1890.jpg,1280,720,1016,295,1060,394,person
5800,VID_20210429_120705_frame_1070.jpg,1920,1080,434,207,563,458,person
2210,20210501_160847_frame_4410.jpg,1280,720,798,345,870,446,motorcycle
3983,20210505_165907_frame_22050.jpg,1280,720,998,333,1108,525,other vehicles
3601,20210505_165907_frame_16790.jpg,1280,720,376,356,484,470,motorcycle
3637,20210505_165907_frame_16890.jpg,1280,720,1121,314,1280,514,motorcycle
4306,20210505_171959_frame_5820.jpg,1280,720,875,324,952,433,motorcycle
2278,20210501_160847_frame_4780.jpg,1280,720,845,354,927,474,motorcycle
4998,20210505_173347_frame_1410.jpg,1280,720,465,250,662,618,person
972,20210501_150607_frame_5030.jpg,1280,720,945,302,986,414,person
1769,20210501_154632_frame_190.jpg,1280,720,570,250,726,380,car
4426,20210505_173347_frame_1000.jpg,1280,720,697,340,717,372,motorcycle
6884,VID_20210429_160703_frame_2090.jpg,1280,720,750,456,1094,641,motorcycle
1197,20210501_150607_frame_7680.jpg,1280,720,696,331,760,426,motorcycle
127,20210501_150607_frame_11550.jpg,1280,720,442,279,468,357,person
4506,20210505_173347_frame_1110.jpg,1280,720,508,299,631,424,car
3446,20210505_165907_frame_10870.jpg,1280,720,871,320,928,409,motorcycle
616,20210501_150607_frame_4100.jpg,1280,720,772,268,1059,487,car
5513,20210505_173347_frame_1770.jpg,1280,720,4,249,331,705,person
5746,20210505_173347_frame_7300.jpg,1280,720,701,331,776,446,motorcycle
3899,20210505_165907_frame_18870.jpg,1280,720,1052,319,1088,375,motorcycle
104,20210501_150607_frame_11400.jpg,1280,720,590,295,625,398,person
4323,20210505_171959_frame_6140.jpg,1280,720,1074,278,1227,532,person
4230,20210505_171959_frame_3660.jpg,1280,720,861,331,886,403,motorcycle
5762,20210505_173347_frame_7420.jpg,1280,720,102,356,157,416,motorcycle
6227,VID_20210429_144011_frame_16680.jpg,1280,720,673,266,799,423,car
397,20210501_150607_frame_13340.jpg,1280,720,825,306,908,375,car
5359,20210505_173347_frame_1630.jpg,1280,720,850,330,879,383,motorcycle
468,20210501_150607_frame_1400.jpg,1280,720,331,262,381,416,person
592,20210501_150607_frame_3860.jpg,1280,720,898,302,943,435,person
6714,VID_20210429_155708_frame_6610.jpg,1280,720,747,196,1130,478,car
1861,20210501_160847_frame_1710.jpg,1280,720,757,350,831,473,motorcycle
3507,20210505_165907_frame_12070.jpg,1280,720,799,320,828,370,motorcycle
5485,20210505_173347_frame_1740.jpg,1280,720,223,386,341,574,motorcycle
5243,20210505_173347_frame_15320.jpg,1280,720,613,318,654,358,car
93,20210501_150607_frame_1130.jpg,1280,720,922,285,1074,384,car
2506,20210501_162114_frame_10900.jpg,1280,720,505,423,697,534,motorcycle
2712,20210503_152226_frame_4330.jpg,1280,720,611,361,654,407,car
136,20210501_150607_frame_1160.jpg,1280,720,984,288,1224,412,car
3171,20210503_154550_frame_4130.jpg,1280,720,495,354,558,422,car
5852,VID_20210429_120705_frame_2750.jpg,1920,1080,1316,236,1365,369,person
6569,VID_20210429_144011_frame_44800.jpg,1280,720,776,272,1071,485,car
6846,VID_20210429_160703_frame_1010.jpg,1280,720,1066,171,1280,583,car
635,20210501_150607_frame_4250.jpg,1280,720,37,310,204,397,car
6843,VID_20210429_160703_frame_1000.jpg,1280,720,904,391,947,470,motorcycle
960,20210501_150607_frame_5010.jpg,1280,720,598,323,659,423,motorcycle
6848,VID_20210429_160703_frame_1020.jpg,1280,720,825,363,934,539,motorcycle
5495,20210505_173347_frame_1750.jpg,1280,720,699,348,758,431,motorcycle
4328,20210505_171959_frame_6250.jpg,1280,720,1051,359,1147,429,motorcycle
2623,20210503_152226_frame_14070.jpg,1280,720,971,345,1028,514,person
800,20210501_150607_frame_4710.jpg,1280,720,521,303,575,348,car
765,20210501_150607_frame_4580.jpg,1280,720,341,310,468,355,car
1662,20210501_154632_frame_170.jpg,1280,720,583,249,682,360,car
6946,VID_20210502_174603_frame_11390.jpg,1280,720,535,278,585,480,person
176,20210501_150607_frame_11770.jpg,1280,720,555,294,658,390,car
1510,20210501_154632_frame_1280.jpg,1280,720,734,308,769,344,car
3248,20210503_154550_frame_5840.jpg,1280,720,555,363,578,409,motorcycle
1870,20210501_160847_frame_1850.jpg,1280,720,482,324,605,430,car
2971,20210503_153255_frame_840.jpg,1280,720,878,391,939,467,motorcycle
2822,20210503_153255_frame_21460.jpg,1280,720,140,432,196,618,person
6936,VID_20210502_174603_frame_11130.jpg,1280,720,725,287,759,431,person
328,20210501_150607_frame_13020.jpg,1280,720,565,306,594,339,car
6904,VID_20210430_155115_frame_32210.jpg,1280,720,604,255,735,386,car
6665,VID_20210429_144011_frame_55270.jpg,1280,720,526,309,653,437,car
5283,20210505_173347_frame_15670.jpg,1280,720,1033,309,1072,375,motorcycle
985,20210501_150607_frame_5050.jpg,1280,720,518,300,562,352,car
4159,20210505_171959_frame_20.jpg,1280,720,839,312,880,390,motorcycle
4021,20210505_165907_frame_23520.jpg,1280,720,268,329,378,528,person
4733,20210505_173347_frame_1290.jpg,1280,720,145,354,301,540,motorcycle
268,20210501_150607_frame_12000.jpg,1280,720,536,303,589,359,car
1200,20210501_150607_frame_7680.jpg,1280,720,320,309,396,430,motorcycle
7002,VID_20210502_174603_frame_13730.jpg,1280,720,793,304,851,358,motorcycle
5976,VID_20210429_120705_frame_860.jpg,1920,1080,849,325,919,463,motorcycle
5842,VID_20210429_120705_frame_2670.jpg,1920,1080,1604,133,1802,561,person
1415,20210501_154025_frame_4110.jpg,1280,720,1180,315,1271,395,motorcycle
1739,20210501_154632_frame_1840.jpg,1280,720,0,224,70,405,person
4901,20210505_173347_frame_1370.jpg,1280,720,516,356,664,629,motorcycle
2407,20210501_161529_frame_2600.jpg,1280,720,416,307,472,430,person
3648,20210505_165907_frame_16930.jpg,1280,720,667,309,762,412,car
5162,20210505_173347_frame_1500.jpg,1280,720,634,305,802,469,car
5366,20210505_173347_frame_1660.jpg,1280,720,554,276,686,488,person
683,20210501_150607_frame_4380.jpg,1280,720,69,311,285,588,other vehicles
5169,20210505_173347_frame_15010.jpg,1280,720,978,325,1150,419,motorcycle
1019,20210501_150607_frame_5400.jpg,1280,720,382,288,458,478,person
5818,VID_20210429_120705_frame_1400.jpg,1920,1080,1355,149,1856,827,other vehicles
3735,20210505_165907_frame_17510.jpg,1280,720,1079,340,1223,505,motorcycle
1041,20210501_150607_frame_5490.jpg,1280,720,1012,284,1071,454,person
5248,20210505_173347_frame_1540.jpg,1280,720,352,297,539,589,person
1040,20210501_150607_frame_5490.jpg,1280,720,0,284,122,347,car
1772,20210501_154632_frame_1900.jpg,1280,720,1059,296,1122,430,person
3206,20210503_154550_frame_4410.jpg,1280,720,877,231,1276,518,car
5493,20210505_173347_frame_1750.jpg,1280,720,1071,241,1214,503,person
3773,20210505_165907_frame_17860.jpg,1280,720,877,299,1017,360,car
4783,20210505_173347_frame_1310.jpg,1280,720,590,365,662,488,motorcycle
6767,VID_20210429_155708_frame_680.jpg,1280,720,444,322,463,388,person
702,20210501_150607_frame_4420.jpg,1280,720,1098,310,1140,404,person
4046,20210505_165907_frame_23920.jpg,1280,720,1082,271,1253,529,person
2778,20210503_153255_frame_19980.jpg,1280,720,992,359,1030,460,person
617,20210501_150607_frame_4110.jpg,1280,720,665,279,766,358,other vehicles
4257,20210505_171959_frame_440.jpg,1280,720,618,322,662,407,motorcycle
4877,20210505_173347_frame_13600.jpg,1280,720,616,315,706,391,car
5732,20210505_173347_frame_610.jpg,1280,720,312,336,357,481,person
7169,VID_20210510_171657_frame_7030.jpg,1280,720,730,275,814,469,person
1454,20210501_154632_frame_1060.jpg,1280,720,1016,78,1280,541,car
6595,VID_20210429_144011_frame_48900.jpg,1280,720,1022,319,1280,452,car
4096,20210505_165907_frame_25890.jpg,1280,720,462,370,519,491,person
5856,VID_20210429_120705_frame_2760.jpg,1920,1080,1392,297,1480,449,other vehicles
3830,20210505_165907_frame_18350.jpg,1280,720,670,306,766,407,car
3181,20210503_154550_frame_420.jpg,1280,720,815,319,1280,708,car
5509,20210505_173347_frame_1760.jpg,1280,720,660,309,760,403,car
6398,VID_20210429_144011_frame_19460.jpg,1280,720,864,376,922,457,motorcycle
744,20210501_150607_frame_4510.jpg,1280,720,318,303,410,434,other vehicles
4919,20210505_173347_frame_1380.jpg,1280,720,500,359,665,648,motorcycle
4439,20210505_173347_frame_1060.jpg,1280,720,1059,331,1248,531,motorcycle
2861,20210503_153255_frame_23150.jpg,1280,720,334,368,389,532,person
2209,20210501_160847_frame_430.jpg,1280,720,1106,227,1280,673,car
4470,20210505_173347_frame_1090.jpg,1280,720,429,384,484,460,motorcycle
4655,20210505_173347_frame_12560.jpg,1280,720,689,312,770,374,car
470,20210501_150607_frame_1410.jpg,1280,720,261,266,324,437,person
893,20210501_150607_frame_4890.jpg,1280,720,791,319,826,369,motorcycle
3936,20210505_165907_frame_20520.jpg,1280,720,991,270,1067,551,person
3230,20210503_154550_frame_50.jpg,1280,720,703,404,735,458,motorcycle
4151,20210505_171959_frame_1910.jpg,1280,720,241,277,356,523,person
4828,20210505_173347_frame_13330.jpg,1280,720,585,319,678,399,car
5505,20210505_173347_frame_1760.jpg,1280,720,555,309,639,500,motorcycle
1784,20210501_154632_frame_1930.jpg,1280,720,922,302,963,363,person
1022,20210501_150607_frame_5410.jpg,1280,720,460,339,545,397,motorcycle
2643,20210503_152226_frame_1490.jpg,1280,720,715,314,779,462,person
3386,20210505_165907_frame_10050.jpg,1280,720,725,336,853,500,motorcycle
1003,20210501_150607_frame_5100.jpg,1280,720,438,296,525,410,other vehicles
4841,20210505_173347_frame_1340.jpg,1280,720,543,342,672,545,motorcycle
2821,20210503_153255_frame_21450.jpg,1280,720,131,364,196,548,person
6366,VID_20210429_144011_frame_18910.jpg,1280,720,547,270,667,422,car
4600,20210505_173347_frame_12220.jpg,1280,720,656,317,743,388,car
5296,20210505_173347_frame_1570.jpg,1280,720,446,343,486,467,motorcycle
4497,20210505_173347_frame_11060.jpg,1280,720,87,308,223,619,person
5222,20210505_173347_frame_15260.jpg,1280,720,662,305,697,341,car
588,20210501_150607_frame_3660.jpg,1280,720,1035,223,1280,452,car
5404,20210505_173347_frame_1680.jpg,1280,720,741,341,848,519,motorcycle
6528,VID_20210429_144011_frame_44140.jpg,1280,720,509,251,720,495,car
6239,VID_20210429_144011_frame_16850.jpg,1280,720,1024,306,1147,560,motorcycle
910,20210501_150607_frame_4910.jpg,1280,720,1155,331,1280,526,motorcycle
858,20210501_150607_frame_4820.jpg,1280,720,664,319,783,515,motorcycle
1679,20210501_154632_frame_1730.jpg,1280,720,636,288,669,382,person
6487,VID_20210429_144011_frame_29690.jpg,1280,720,532,178,734,460,car
1017,20210501_150607_frame_5290.jpg,1280,720,491,317,532,390,motorcycle
5075,20210505_173347_frame_14580.jpg,1280,720,100,328,431,570,car
5273,20210505_173347_frame_15530.jpg,1280,720,0,290,449,660,car
5157,20210505_173347_frame_150.jpg,1280,720,654,384,729,479,motorcycle
396,20210501_150607_frame_13340.jpg,1280,720,987,304,1164,428,car
7026,VID_20210502_174603_frame_2520.jpg,1280,720,0,210,320,535,car
1976,20210501_160847_frame_2220.jpg,1280,720,144,301,329,468,car
821,20210501_150607_frame_4750.jpg,1280,720,487,308,555,362,car
1451,20210501_154632_frame_1050.jpg,1280,720,905,163,1280,525,car
1712,20210501_154632_frame_180.jpg,1280,720,612,253,749,374,car
4233,20210505_171959_frame_3680.jpg,1280,720,975,327,1078,486,motorcycle
2867,20210503_153255_frame_23170.jpg,1280,720,2,331,123,666,person
6702,VID_20210429_155708_frame_6380.jpg,1280,720,906,272,1234,445,car
248,20210501_150607_frame_11980.jpg,1280,720,924,287,1095,534,person
2593,20210501_162114_frame_16460.jpg,1280,720,533,330,595,369,car
203,20210501_150607_frame_11850.jpg,1280,720,783,285,950,417,car
131,20210501_150607_frame_11570.jpg,1280,720,619,307,671,356,car
6269,VID_20210429_144011_frame_17400.jpg,1280,720,17,409,209,691,other vehicles
7216,VID_20210510_171657_frame_9620.jpg,1280,720,50,215,274,577,person
1079,20210501_150607_frame_5910.jpg,1280,720,926,312,962,403,person
5570,20210505_173347_frame_1810.jpg,1280,720,839,306,992,412,car
1377,20210501_154025_frame_3100.jpg,1280,720,0,226,368,679,car
3611,20210505_165907_frame_16830.jpg,1280,720,824,321,871,384,motorcycle
4146,20210505_171959_frame_1880.jpg,1280,720,529,293,566,408,other vehicles
1419,20210501_154025_frame_4150.jpg,1280,720,32,380,267,532,motorcycle
6005,VID_20210429_144011_frame_11510.jpg,1280,720,588,329,781,464,car
161,20210501_150607_frame_11710.jpg,1280,720,526,297,611,375,car
6762,VID_20210429_155708_frame_6770.jpg,1280,720,152,281,359,426,car
1204,20210501_150607_frame_7880.jpg,1280,720,1110,363,1276,497,motorcycle
4254,20210505_171959_frame_410.jpg,1280,720,635,323,682,394,motorcycle
2768,20210503_153255_frame_19880.jpg,1280,720,632,404,693,494,motorcycle
6754,VID_20210429_155708_frame_6740.jpg,1280,720,520,283,578,345,car
1168,20210501_150607_frame_6990.jpg,1280,720,353,306,483,398,car
2627,20210503_152226_frame_14380.jpg,1280,720,0,380,213,479,car
2806,20210503_153255_frame_20950.jpg,1280,720,806,353,844,476,person
2418,20210501_161529_frame_2670.jpg,1280,720,552,301,592,344,car
4220,20210505_171959_frame_3510.jpg,1280,720,560,293,659,392,car
557,20210501_150607_frame_2830.jpg,1280,720,1124,266,1279,475,car
4320,20210505_171959_frame_610.jpg,1280,720,657,356,730,450,motorcycle
7139,VID_20210510_171657_frame_1720.jpg,1280,720,576,297,623,341,car
3186,20210503_154550_frame_4240.jpg,1280,720,478,353,517,394,car
4967,20210505_173347_frame_13980.jpg,1280,720,78,300,489,536,car
2435,20210501_161529_frame_280.jpg,1280,720,747,355,840,404,motorcycle
48,20210501_150607_frame_10580.jpg,1280,720,577,302,627,354,car
4928,20210505_173347_frame_13840.jpg,1280,720,363,236,590,428,car
2980,20210503_153255_frame_860.jpg,1280,720,585,398,611,467,person
1626,20210501_154632_frame_1600.jpg,1280,720,643,303,668,378,person
5733,20210505_173347_frame_610.jpg,1280,720,284,389,411,480,motorcycle
4625,20210505_173347_frame_1240.jpg,1280,720,702,314,777,387,car
3909,20210505_165907_frame_19360.jpg,1280,720,1089,318,1280,575,other vehicles
370,20210501_150607_frame_13230.jpg,1280,720,806,309,855,360,car
1555,20210501_154632_frame_140.jpg,1280,720,607,301,770,399,car
4975,20210505_173347_frame_140.jpg,1280,720,390,322,485,431,other vehicles
6360,VID_20210429_144011_frame_18880.jpg,1280,720,576,284,690,421,car
4192,20210505_171959_frame_330.jpg,1280,720,180,350,343,447,motorcycle
4939,20210505_173347_frame_13890.jpg,1280,720,248,182,548,465,car
